player_id,player_display_name,position,team,week,def_tackles_solo,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumble_recovery_opp
00-0036407,Jerry Jeudy,WR,CLE,1,1,0,0,0,0.0,0,0,0,0,0
00-0036409,Jordyn Brooks,LB,MIA,1,5,9,1,0,0.0,0,0,0,0,0
00-0036411,Antoine Winfield Jr.,SAF,TB,1,1,3,0,0,0.0,1,0,1,0,0
00-0036413,Darrell Taylor,DE,HOU,1,1,0,0,0,0.0,0,0,0,0,0
00-0036416,Kristian Fulton,CB,KC,1,1,0,0,0,0.0,0,0,0,0,0
00-0036418,Zack Baun,LB,PHI,1,6,3,1,0,0.0,0,0,1,0,0
00-0036428,Justin Strnad,LB,DEN,1,2,2,1,0,1.0,2,0,0,0,0
00-0036441,"Kenneth Murray, Jr.",LB,DAL,1,4,5,0,0,0.0,0,0,0,0,0
00-0036479,Kwity Paye,DE,IND,1,0,0,1,0,0.0,0,0,0,0,0
00-0036480,Dayo Odeyingbo,DE,CHI,1,1,1,1,0,1.0,2,0,1,0,0
00-0036500,Jamien Sherwood,LB,NYJ,1,3,3,1,0,0.0,0,0,0,0,0
00-0036501,Michael Carter II,CB,NYJ,1,3,1,1,0,0.0,0,0,1,0,0
00-0036502,Jason Pinnock,SAF,SF,1,4,0,0,0,0.0,0,0,0,0,0
00-0036504,Brandin Echols,CB,PIT,1,2,0,0,0,0.0,0,0,0,0,0
00-0036563,Deommodore Lenoir,CB,SF,1,2,0,0,0,0.0,0,0,0,0,0
00-0036564,Talanoa Hufanga,SAF,DEN,1,7,4,0,1,0.0,0,0,0,0,0
00-0036568,Roy Lopez,DT,DET,1,0,1,0,0,0.0,0,0,0,0,0
00-0036620,Dee Eskridge,WR,MIA,1,1,0,0,0,0.0,0,0,0,0,0
00-0036621,Nick Bolton,LB,KC,1,6,2,0,0,0.0,0,0,0,0,0
00-0036625,Benjamin St-Juste,CB,LAC,1,1,1,0,0,0.0,0,0,0,0,0
00-0036629,Camryn Bynum,SAF,IND,1,1,2,0,0,0.0,0,1,2,0,0
00-0036630,Tylan Wallace,WR,BAL,1,1,0,0,0,0.0,0,0,0,0,0
00-0036642,Tedarrell Slaton,DT,CIN,1,0,3,0,0,0.0,1,0,0,0,0
00-0036644,Cameron McGrone,LB,IND,1,1,0,0,0,0.0,0,0,0,0,0
00-0036648,Nick Niemann,LB,GB,1,1,3,0,0,0.0,0,0,0,0,0
00-0036658,Isaiah McDuffie,LB,GB,1,1,3,0,0,0.0,0,0,0,0,0
00-0036683,Devon Key,SAF,DEN,1,1,0,0,0,0.0,0,0,0,0,0
00-0036711,Charles Snowden,LB,LV,1,1,1,0,0,0.0,0,0,0,0,0
00-0036741,Jack Stoll,TE,NO,1,1,0,0,0,0.0,0,0,0,0,0
00-0036813,Christian Elliss,LB,NE,1,5,3,0,0,0.0,0,0,0,0,0
00-0036825,Feleipe Franks,TE,ATL,1,1,0,0,0,0.0,0,0,0,0,0
00-0036862,Ben Skowronek,WR,PIT,1,1,0,0,0,0.0,0,0,0,0,0
00-0036867,Chris Rumph II,LB,NO,1,1,2,0,0,0.0,0,0,0,0,0
00-0036874,Pat Surtain II,CB,DEN,1,0,0,0,0,0.0,0,0,1,0,0
00-0036876,Kylen Granson,TE,PHI,1,1,0,0,0,0.0,0,0,0,0,0
00-0036881,Jay Tufele,DT,NYJ,1,2,1,0,0,0.0,0,0,0,0,0
00-0036901,Eric Stokes,CB,LV,1,3,2,1,0,0.0,0,0,0,0,0
00-0036903,Bobby Brown III,DT,CAR,1,1,2,0,0,0.0,0,0,0,0,0
00-0036909,Khyiris Tonga,DT,NE,1,2,1,0,0,0.0,1,0,0,0,0
