player_id,player_display_name,position,team,week,def_tackles_solo,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumble_recovery_opp
00-0035699,Jamel Dean,CB,TB,1,6,0,0,0,0.0,0,0,3,0,0
00-0035705,Jalen Thompson,DB,ARI,1,4,4,0,0,0.0,0,0,1,0,0
00-0035707,Devin White,LB,LV,1,7,3,1,0,0.0,0,0,0,0,0
00-0035713,Brian Burns,LB,NYG,1,2,4,2,0,2.0,2,0,0,0,0
00-0035717,Nick Bosa,DE,SF,1,6,0,3,1,1.0,1,0,0,0,0
00-0035718,Quinnen Williams,DT,NYJ,1,4,1,2,1,1.0,3,0,0,0,0
00-0035757,Jacob Bobenmoyer,LS,LV,1,0,1,0,0,0.0,0,0,0,0,0
00-0035857,Chris Williams,DT,CHI,1,1,0,0,0,0.0,0,0,0,0,0
00-0035890,Tershawn Wharton,DE,CAR,1,1,3,0,0,0.0,0,0,0,0,0
00-0035895,Joe Bachie,LB,IND,1,1,5,0,0,0.0,0,0,0,0,0
00-0035942,Christian Rozeboom,LB,CAR,1,7,1,0,0,0.0,0,0,0,0,0
00-0035944,Jonah Williams,DE,NO,1,0,1,0,0,0.0,0,0,0,0,0
00-0036037,Sam Franklin Jr.,SAF,BUF,1,1,0,0,0,0.0,0,0,0,0,0
00-0036081,Broderick Washington,DT,BAL,1,0,0,0,0,0.0,0,0,1,0,0
00-0036124,Khalil Dorsey,CB,DET,1,1,0,0,0,0.0,0,0,0,0,0
00-0036130,Nnamdi Madubuike,DT,BAL,1,4,2,1,0,1.0,1,0,0,0,0
00-0036139,Rico Dowdle,RB,CAR,1,1,0,0,0,0.0,0,0,0,0,0
00-0036159,Joshua Uche,LB,PHI,1,0,1,0,0,0.0,0,0,0,0,0
00-0036181,Teair Tart,DT,LAC,1,1,0,0,0,0.0,0,0,2,0,0
00-0036192,A.J. Epenesa,DE,BUF,1,1,0,0,0,0.0,0,0,0,0,0
00-0036199,Geno Stone,SAF,CIN,1,1,4,0,0,0.0,0,0,0,0,0
00-0036220,Derrick Brown,DT,CAR,1,3,1,0,0,0.0,0,0,0,0,0
00-0036221,Brandon Jones,SAF,DEN,1,1,5,0,0,0.0,0,0,0,0,0
00-0036222,Isaiah Rodgers,CB,MIN,1,3,2,1,0,0.0,0,0,0,0,0
00-0036224,Jonathan Greenard,LB,MIN,1,2,0,0,0,0.0,2,0,0,0,0
00-0036231,Kyle Dugger,SAF,NE,1,0,2,0,0,0.0,0,0,0,0,0
00-0036253,Julian Blackmon,SAF,NO,1,4,3,0,0,0.0,0,0,1,0,0
00-0036256,Colton McKivitz,OT,SF,1,1,0,0,0,0.0,0,0,0,0,0
00-0036260,Javon Kinlaw,DT,WAS,1,1,2,1,0,0.0,2,0,0,0,0
00-0036266,Jordan Elliott,DT,SF,1,0,3,0,0,0.0,0,0,0,0,0
00-0036274,Jeff Okudah,CB,MIN,1,2,0,0,0,0.0,0,0,0,0,0
00-0036280,Malik Harrison,LB,PIT,1,1,1,0,0,0.0,0,0,0,0,0
00-0036282,Grant Delpit,SAF,CLE,1,1,2,0,0,0.0,0,0,0,0,0
00-0036285,A.J. Terrell,CB,ATL,1,6,0,0,0,0.0,0,0,2,0,0
00-0036286,K'Lavon Chaisson,LB,NE,1,0,2,0,0,0.5,1,0,0,0,0
00-0036287,Noah Igbinoghene,CB,WAS,1,1,0,0,0,0.0,0,0,1,0,0
00-0036288,Yetur Gross-Matos,DE,SF,1,0,0,0,0,0.0,1,0,0,0,0
00-0036293,Jeremy Chinn,SAF,LV,1,3,1,0,0,0.0,0,0,0,0,0
00-0036294,Logan Wilson,LB,CIN,1,4,3,0,0,0.0,0,0,2,0,0
00-0036298,Akeem Davis-Gaither,LB,ARI,1,3,4,0,0,0.0,0,0,1,0,0
00-0036302,Jaylinn Hawkins,SAF,NE,1,4,0,2,0,1.0,1,1,1,0,0
00-0036323,Patrick Queen,LB,PIT,1,5,3,0,0,0.0,1,0,0,0,0
00-0036329,Ashtyn Davis,SAF,MIA,1,0,0,1,0,0.0,0,0,0,0,0
00-0036333,Alex Highsmith,LB,PIT,1,5,3,1,0,1.0,3,0,0,0,0
00-0036335,D.J. Wonnum,LB,CAR,1,0,0,0,0,0.0,0,0,1,0,0
00-0036337,James Lynch,DT,TEN,1,1,1,0,0,0.0,0,0,0,0,0
00-0036338,Troy Dye,LB,LAC,1,3,2,0,0,0.0,0,0,0,0,0
00-0036348,Josh Metellus,SAF,MIN,1,3,2,0,0,0.0,0,0,0,0,0
00-0036349,Kam Curl,SAF,LAR,1,7,2,0,0,0.0,0,0,0,0,0
00-0036361,Trevon Diggs,CB,DAL,1,1,0,0,0,0.0,0,0,0,0,0
00-0036366,Neville Gallimore,DT,IND,1,0,0,0,0,0.0,0,0,1,0,0
00-0036374,L'Jarius Sneed,SAF,TEN,1,3,0,0,0,0.0,0,0,1,0,0
00-0036375,Amik Robertson,CB,DET,1,3,0,0,0,0.0,0,0,0,0,0
00-0036378,Michael Danna,LB,KC,1,0,1,1,0,0.0,0,0,0,0,0
00-0036380,Alohi Gilman,SAF,LAC,1,4,5,0,0,0.0,0,0,0,0,0
00-0036388,Xavier McKinney,SAF,GB,1,2,3,0,0,0.0,0,0,0,0,0
00-0036394,Darnay Holmes,CB,LV,1,1,1,0,0,0.0,0,0,0,0,0
