season,team,games,points_for,points_against,ppg,oppg,net_ppg
2017,TEN,18,370,412,20.55555555555556,22.88888888888889,-2.333333333333332
2025,DAL,17,471,511,27.705882352941178,30.058823529411764,-2.352941176470587
2020,LAC,16,384,426,24.0,26.625,-2.625
2018,NYG,16,369,412,23.0625,25.75,-2.6875
2020,LV,16,434,478,27.125,29.875,-2.75
2024,SF,17,389,436,22.88235294117647,25.647058823529413,-2.764705882352942
2020,MIN,16,430,475,26.875,29.6875,-2.8125
2025,ATL,17,353,401,20.764705882352946,23.58823529411765,-2.8235294117647065
2017,WAS,16,342,388,21.375,24.25,-2.875
2017,TB,16,335,382,20.9375,23.875,-2.9375
2024,IND,17,377,427,22.176470588235293,25.11764705882353,-2.9411764705882355
2016,HOU,18,322,376,17.88888888888889,20.88888888888889,-3.0
2023,LAC,17,346,398,20.352941176470587,23.41176470588235,-3.0588235294117645
2023,ATL,17,321,373,18.88235294117647,21.94117647058824,-3.0588235294117645
2017,SF,16,331,383,20.6875,23.9375,-3.25
2020,CAR,16,350,402,21.875,25.125,-3.25
2023,DEN,17,357,413,21.0,24.294117647058822,-3.2941176470588225
2025,NYG,17,381,439,22.41176470588235,25.823529411764707,-3.411764705882355
2022,TB,18,327,389,18.166666666666668,21.61111111111111,-3.444444444444443
2017,CHI,16,264,320,16.5,20.0,-3.5
2024,NO,17,338,398,19.88235294117647,23.41176470588235,-3.5294117647058805
2024,CHI,17,310,370,18.235294117647054,21.764705882352946,-3.529411764705884
2022,TEN,17,298,359,17.529411764705884,21.11764705882353,-3.588235294117645
2019,CLE,16,335,393,20.9375,24.5625,-3.625
2023,TEN,17,305,367,17.941176470588236,21.58823529411765,-3.647058823529413
2017,CIN,16,290,349,18.125,21.8125,-3.6875
2017,BUF,17,305,369,17.941176470588236,21.705882352941178,-3.764705882352942
2024,NYJ,17,338,404,19.88235294117647,23.764705882352946,-3.882352941176471
2017,GB,16,320,384,20.0,24.0,-4.0
2021,LV,18,393,465,21.83333333333333,25.83333333333333,-4.0
2025,CAR,18,342,414,19.0,23.0,-4.0
2017,ARI,16,295,361,18.4375,22.5625,-4.125
2021,PIT,18,364,440,20.22222222222222,24.444444444444443,-4.222222222222221
2022,DEN,17,287,359,16.88235294117647,21.11764705882353,-4.235294117647058
2018,TB,16,396,464,24.75,29.0,-4.25
2018,JAX,16,245,316,15.3125,19.75,-4.4375
2017,LV,16,301,373,18.8125,23.3125,-4.5
2025,NO,17,306,383,18.0,22.529411764705884,-4.529411764705884
2022,LAR,17,307,384,18.058823529411764,22.58823529411765,-4.529411764705884
2025,MIA,17,347,424,20.41176470588235,24.94117647058824,-4.529411764705884
2025,CIN,17,414,492,24.352941176470587,28.94117647058824,-4.5882352941176485
